path,branch,head,upstream,ahead,behind,dirty_staged,dirty_unstaged,dirty_untracked,detached,head_in_alpha,alpha_in_head,port_extract_staged,classification_hint
"umtuba-web","office/profile-hero-completeness-v1",7ed9159f62d6a82d1999b19ef9d1df9a63c09de9,"origin/office/profile-hero-completeness-v1",0,0,0,1,2,False,NO,NO,NO,
"C:/Users/1/AppData/Local/Temp/umtuba-staging-deploy-e84475a","(detached)",e84475a769c731bb7e1ad511b3543ee714d2feea,"",,,0,0,0,True,YES,YES,NO,
"umtuba-web-ai-anthropic-adapter-v1","office/ai-core-anthropic-adapter-v1",fe07a1cde0bd90761c21eda4c9277b1077767e0c,"origin/office/ai-core-anthropic-adapter-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-ai-audit-readonly","(detached)",9e90448ce8e4566fd369476a2571844378b0950c,"",,,0,0,0,True,NO,NO,NO,
"umtuba-web-ai-capability-catalog-service-registry-v1","office/platform-ai-capability-catalog-service-registry-v1",493e17ca4ff86db91d8dc16696a2fb7453ea4772,"origin/office/platform-ai-capability-catalog-service-registry-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-ai-core-gemini-adapter-recovery-v1","office/ai-core-gemini-adapter-recovery-v1",919dc75066eca875ab11172912c0841e532444fd,"origin/office/ai-core-gemini-adapter-recovery-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-ai-creator-studio-foundation-v1","office/platform-ai-creator-studio-foundation-v1",aaccac3fd445de1c92e2e916dc081eeeddd7370b,"origin/office/platform-ai-creator-studio-foundation-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-ai-data-platform-foundation-v1","office/platform-ai-data-platform-foundation-v1",b33054fa4780e260519cead4d331e1c2077f1b7d,"origin/office/platform-ai-data-platform-foundation-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-ai-data-platform-workflow-v1","office/platform-ai-data-platform-workflow-v1",2344c1b2670aae5eed925e6958abe0a42b9d73a5,"origin/office/platform-ai-data-platform-workflow-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-ai-gemini-adapter-v1","office/ai-core-gemini-adapter-v1",2867a5e90119aa152cbec5dd868207b38d1d474b,"origin/office/ai-core-gemini-adapter-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-ai-local-adapter-v1","office/ai-core-local-adapter-v1",a462c88bd446c794f7b81f2e8219f3e4b866e971,"origin/office/ai-core-local-adapter-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-ai-policy-governance-foundation-v1","office/platform-ai-policy-governance-foundation-v1",2477bd9509bde9261f48b5cceb600b34e09cd129,"origin/office/platform-ai-policy-governance-foundation-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-ai-provider-foundation-v1","office/ai-core-provider-foundation-v1",01f23d9a584d7b970788fd71444faf6979f25330,"origin/office/ai-core-provider-foundation-v1",0,0,0,0,0,False,YES,NO,NO,
"umtuba-web-ai-service-orchestration-foundation-v1","office/platform-ai-service-orchestration-foundation-v1",f5a26137cf7ee7032ee1fdd517e800c6f4d206dd,"origin/office/platform-ai-service-orchestration-foundation-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-ai-streaming-port-to-creator-v1","office/platform-ai-streaming-port-to-creator-v1",337ba84948b15e6c43eecacf261ff4680365a4a2,"origin/office/platform-ai-streaming-port-to-creator-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-ai-tutor-provider-reconciliation-v1","office/ai-tutor-provider-reconciliation-v1",3d6dd6dafccb8e75dcc4f788546421e0695eb633,"origin/office/ai-tutor-provider-reconciliation-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-ai-unified-capability-execution-v1","office/platform-ai-unified-capability-execution-v1",1c504ff0d50f880dc25eea9ce5385476a1941588,"origin/office/platform-ai-unified-capability-execution-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-ai-usage-quotas-billing-foundation-v1","(detached)",70dbc5f638449b54be1e995723ad6edef0f169d3,"",,,0,0,0,True,NO,NO,NO,
"umtuba-web-collaboration-learning-link-unlink-local-e2e-v1","office/collaboration-learning-link-unlink-local-e2e-desktop-v1",be5d836aae2697790432bfec7b5e799802ac2498,"origin/office/collaboration-workspace-settings-lifecycle-ui-v1",0,16,0,106,11,False,NO,NO,NO,
"umtuba-web-collaboration-login-nav-reverif-v1","office/collaboration-local-link-unlink-fixture-rpc-browser-e2e-followup-v1",188423d6e449b6123340ff14df052e429164933b,"origin/office/collaboration-local-link-unlink-fixture-rpc-browser-e2e-followup-v1",0,0,0,1,1,False,NO,NO,NO,
"umtuba-web-collaboration-settings-lifecycle-ui-v1","office/collaboration-settings-lifecycle-ui-v1",f5ab724eb3f7803848765a9efaee163c01b38f23,"origin/office/collaboration-settings-lifecycle-ui-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-collaboration-workspace-ui-foundation-v1","office/collaboration-workspace-ui-foundation-v1",b00240226b274c479dddd081da2332fd1f956145,"origin/office/collaboration-workspace-ui-foundation-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-commerce-catalog-category-taxonomy-seed-v1","office/commerce-catalog-category-taxonomy-seed-v1",29f0f6b7bcbb3bcbc4c602c1f9a25bb85b7a5139,"origin/office/commerce-catalog-category-taxonomy-seed-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-commerce-chain-migration-apply-readiness-v1","office/commerce-chain-migration-apply-readiness-v1",3552241b70681ab77e0bea1336227fe606639739,"origin/office/commerce-chain-migration-apply-readiness-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-commerce-chain-migration-apply-readiness-v1-current","office/commerce-chain-migration-apply-readiness-v1-current",c4736307bc7cdeb4116640d3969cc5e53e0e2594,"origin/office/commerce-chain-migration-apply-readiness-v1-current",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-commerce-chain-remote-preflight-recheck-v1","office/commerce-chain-remote-preflight-recheck-v1",9fb7a05bad84f7b100de39c47bb96a6dd97c9fb1,"origin/office/commerce-chain-remote-preflight-recheck-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-commerce-commission-decomposition-bridge-apply-v1","office/commerce-commission-decomposition-bridge-apply-v1",7d90a0569e49f789f26159565125ad78b4ffd992,"origin/office/commerce-commission-decomposition-bridge-apply-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-commerce-commission-decomposition-bridge-apply-v1-current","office/commerce-commission-decomposition-bridge-apply-v1-current",1746bc7e6ce9434c68c78003894aab81409cc38b,"origin/office/commerce-commission-decomposition-bridge-apply-v1-current",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-commerce-commission-policy-activation-v1","office/commerce-commission-policy-activation-v1",be87fb30c2c7ba15d66f8540e5e6c57e181649f6,"origin/office/commerce-commission-policy-activation-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-commerce-commission-policy-activation-v1-current","office/commerce-commission-policy-activation-v1-current",c9f9458e945099e680798e4647104e542df27418,"origin/office/commerce-commission-policy-activation-v1-current",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-commerce-completion-audit-v1","office/commerce-completion-audit-v1",ca157d716348ba107f546e453602eae7c48ec989,"origin/office/commerce-marketplace-supplier-listing-create-hardening-v1",0,1,0,0,0,False,NO,NO,NO,
"umtuba-web-commerce-digital-entitlement-revoke-on-refund-v1","office/commerce-digital-entitlement-revoke-on-refund-v1",306a023c0aee59437b001c849b464c67f7491dc7,"origin/office/commerce-digital-entitlement-revoke-on-refund-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-commerce-digital-entitlement-revoke-on-refund-v1-current","office/commerce-digital-entitlement-revoke-on-refund-v1-current",0ccdb6354e1e6ea2b23c8414643ebb6a1dbed282,"origin/office/commerce-digital-entitlement-revoke-on-refund-v1-current",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-commerce-live-payment-production-gate-v1","office/commerce-live-payment-production-gate-v1",f376d5e7a7f532b7a23ca8775e9e45c1cb7df40e,"origin/office/commerce-live-payment-production-gate-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-commerce-live-payment-production-gate-v1-current","office/commerce-live-payment-production-gate-v1-current",05e0043080f82779a3d97b810303b8c0e804d14a,"origin/office/commerce-live-payment-production-gate-v1-current",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-commerce-marketplace-foundation-v1","office/commerce-marketplace-foundation-v1",6fac4409f217b6e7d28b2ff4c0a2dab453f45427,"",,,0,0,0,False,YES,NO,NO,
"umtuba-web-commerce-migration-history-drift-verification-v1","office/commerce-migration-history-drift-verification-v1",904c8bbfefe6467dcb2cae8252ac8c6054f302ed,"origin/office/commerce-migration-history-drift-verification-v1",0,0,0,0,0,False,NO,NO,NO,
