"path","exists","head","branch","detached","commonGit","dirty","staged","unstaged","untracked","upstream","ahead","behind","lastSubject","lastDate","headIsAncestorOfAlpha","alphaIsAncestorOfHead"
"C:/Users/1/Desktop/umtuba/umtuba-web","True","7ed9159f62d6a82d1999b19ef9d1df9a63c09de9","office/profile-hero-completeness-v1","False",".git","True","0","1","2","origin/office/profile-hero-completeness-v1","0","0","chore(workflow): keep UMTUBA artifacts off Windows Desktop","2026-08-10 09:44:24 +0300","NO","NO"
"C:/Users/1/AppData/Local/Temp/umtuba-staging-deploy-e84475a","True","e84475a769c731bb7e1ad511b3543ee714d2feea","(detached)","True","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","merge(ai): reconcile shared AI core catalog+metering onto alpha Games tip","2026-08-10 21:33:17 +0300","YES","YES"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-anthropic-adapter-v1","True","fe07a1cde0bd90761c21eda4c9277b1077767e0c","office/ai-core-anthropic-adapter-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/ai-core-anthropic-adapter-v1","0","0","feat(ai): add anthropic provider adapter v1","2026-07-30 08:47:46 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-audit-readonly","True","9e90448ce8e4566fd369476a2571844378b0950c","(detached)","True","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","feat(ai): add learning tutor thread metadata read","2026-07-30 01:31:01 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-capability-catalog-service-registry-v1","True","493e17ca4ff86db91d8dc16696a2fb7453ea4772","office/platform-ai-capability-catalog-service-registry-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/platform-ai-capability-catalog-service-registry-v1","0","0","feat(ai): add AI capability catalog and service registry v1","2026-07-31 18:56:44 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-core-gemini-adapter-recovery-v1","True","919dc75066eca875ab11172912c0841e532444fd","office/ai-core-gemini-adapter-recovery-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/ai-core-gemini-adapter-recovery-v1","0","0","feat(ai): recover Gemini adapter config from profile-hero mix","2026-08-05 15:23:41 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-creator-studio-foundation-v1","True","aaccac3fd445de1c92e2e916dc081eeeddd7370b","office/platform-ai-creator-studio-foundation-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/platform-ai-creator-studio-foundation-v1","0","0","feat(ai): add AI creator studio foundation v1","2026-07-31 21:15:37 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-data-platform-foundation-v1","True","b33054fa4780e260519cead4d331e1c2077f1b7d","office/platform-ai-data-platform-foundation-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/platform-ai-data-platform-foundation-v1","0","0","feat(platform): add AI data platform and model registry foundation v1","2026-07-30 14:54:31 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-data-platform-workflow-v1","True","2344c1b2670aae5eed925e6958abe0a42b9d73a5","office/platform-ai-data-platform-workflow-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/platform-ai-data-platform-workflow-v1","0","0","feat(platform): add AI data platform workflow and dataset approval v1","2026-07-30 15:23:00 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-gemini-adapter-v1","True","2867a5e90119aa152cbec5dd868207b38d1d474b","office/ai-core-gemini-adapter-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/ai-core-gemini-adapter-v1","0","0","feat(ai): add gemini provider adapter v1","2026-07-30 08:31:57 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-local-adapter-v1","True","a462c88bd446c794f7b81f2e8219f3e4b866e971","office/ai-core-local-adapter-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/ai-core-local-adapter-v1","0","0","feat(ai): add local provider adapter v1","2026-07-30 09:23:13 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-policy-governance-foundation-v1","True","2477bd9509bde9261f48b5cceb600b34e09cd129","office/platform-ai-policy-governance-foundation-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/platform-ai-policy-governance-foundation-v1","0","0","feat(ai): add AI policy governance foundation v1","2026-07-31 20:25:00 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-provider-foundation-v1","True","01f23d9a584d7b970788fd71444faf6979f25330","office/ai-core-provider-foundation-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/ai-core-provider-foundation-v1","0","0","feat(ai): add AI Hub experience foundation","2026-07-29 16:26:27 +0300","YES","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-service-orchestration-foundation-v1","True","f5a26137cf7ee7032ee1fdd517e800c6f4d206dd","office/platform-ai-service-orchestration-foundation-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/platform-ai-service-orchestration-foundation-v1","0","0","feat(ai): add AI service orchestration foundation v1","2026-07-31 20:37:01 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-streaming-port-to-creator-v1","True","337ba84948b15e6c43eecacf261ff4680365a4a2","office/platform-ai-streaming-port-to-creator-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/platform-ai-streaming-port-to-creator-v1","0","0","feat(ai): port streaming foundation onto creator studio tip","2026-08-08 23:01:22 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-tutor-provider-reconciliation-v1","True","3d6dd6dafccb8e75dcc4f788546421e0695eb633","office/ai-tutor-provider-reconciliation-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/ai-tutor-provider-reconciliation-v1","0","0","docs(ai): save reconciliation handoff for next session","2026-07-30 03:26:35 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-unified-capability-execution-v1","True","1c504ff0d50f880dc25eea9ce5385476a1941588","office/platform-ai-unified-capability-execution-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/platform-ai-unified-capability-execution-v1","0","0","feat(ai): add unified capability execution v1","2026-07-31 20:49:36 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-ai-usage-quotas-billing-foundation-v1","True","70dbc5f638449b54be1e995723ad6edef0f169d3","(detached)","True","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","feat(ai): add AI usage quotas and billing foundation v1","2026-07-31 19:57:09 +0300","NO","NO"
