name	branch	head	dirty	upstream	ahead_behind	alpha_rel	class
umtuba-web-ai-anthropic-adapter-v1	office/ai-core-anthropic-adapter-v1	fe07a1cde0bd90761c21eda4c9277b1077767e0c	CLEAN	origin/office/ai-core-anthropic-adapter-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-ai-audit-readonly	HEAD	9e90448ce8e4566fd369476a2571844378b0950c	CLEAN		NO_UPSTREAM	NOT_IN_ALPHA_LINEAGE	DETACHED_ORPHAN_OR_SUPERSEDED
umtuba-web-ai-capability-catalog-service-registry-v1	office/platform-ai-capability-catalog-service-registry-v1	493e17ca4ff86db91d8dc16696a2fb7453ea4772	CLEAN	origin/office/platform-ai-capability-catalog-service-registry-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-ai-core-gemini-adapter-recovery-v1	office/ai-core-gemini-adapter-recovery-v1	919dc75066eca875ab11172912c0841e532444fd	CLEAN	origin/office/ai-core-gemini-adapter-recovery-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-ai-creator-studio-foundation-v1	office/platform-ai-creator-studio-foundation-v1	aaccac3fd445de1c92e2e916dc081eeeddd7370b	CLEAN	origin/office/platform-ai-creator-studio-foundation-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-ai-data-platform-foundation-v1	office/platform-ai-data-platform-foundation-v1	b33054fa4780e260519cead4d331e1c2077f1b7d	CLEAN	origin/office/platform-ai-data-platform-foundation-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-ai-data-platform-workflow-v1	office/platform-ai-data-platform-workflow-v1	2344c1b2670aae5eed925e6958abe0a42b9d73a5	CLEAN	origin/office/platform-ai-data-platform-workflow-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-ai-gemini-adapter-v1	office/ai-core-gemini-adapter-v1	2867a5e90119aa152cbec5dd868207b38d1d474b	CLEAN	origin/office/ai-core-gemini-adapter-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-ai-local-adapter-v1	office/ai-core-local-adapter-v1	a462c88bd446c794f7b81f2e8219f3e4b866e971	CLEAN	origin/office/ai-core-local-adapter-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-ai-policy-governance-foundation-v1	office/platform-ai-policy-governance-foundation-v1	2477bd9509bde9261f48b5cceb600b34e09cd129	CLEAN	origin/office/platform-ai-policy-governance-foundation-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-ai-provider-foundation-v1	office/ai-core-provider-foundation-v1	01f23d9a584d7b970788fd71444faf6979f25330	CLEAN	origin/office/ai-core-provider-foundation-v1	0	0	MERGED_INTO_ALPHA	COMPLETED_ON_ALPHA
umtuba-web-ai-service-orchestration-foundation-v1	office/platform-ai-service-orchestration-foundation-v1	f5a26137cf7ee7032ee1fdd517e800c6f4d206dd	CLEAN	origin/office/platform-ai-service-orchestration-foundation-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-ai-streaming-port-to-creator-v1	office/platform-ai-streaming-port-to-creator-v1	337ba84948b15e6c43eecacf261ff4680365a4a2	CLEAN	origin/office/platform-ai-streaming-port-to-creator-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-ai-tutor-provider-reconciliation-v1	office/ai-tutor-provider-reconciliation-v1	3d6dd6dafccb8e75dcc4f788546421e0695eb633	CLEAN	origin/office/ai-tutor-provider-reconciliation-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-ai-unified-capability-execution-v1	office/platform-ai-unified-capability-execution-v1	1c504ff0d50f880dc25eea9ce5385476a1941588	CLEAN	origin/office/platform-ai-unified-capability-execution-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-ai-usage-quotas-billing-foundation-v1	HEAD	70dbc5f638449b54be1e995723ad6edef0f169d3	CLEAN		NO_UPSTREAM	NOT_IN_ALPHA_LINEAGE	DETACHED_ORPHAN_OR_SUPERSEDED
umtuba-web-gemini-live-provider-v1	HEAD	30bda6a66248841ed4dd0b64984e4b5d81e40712	CLEAN		NO_UPSTREAM	NOT_IN_ALPHA_LINEAGE	DETACHED_ORPHAN_OR_SUPERSEDED
umtuba-web-integration-w3-ai	integration/w3-ai	d4bbddcf2b23984602702dc2418a917dc98ebd0a	CLEAN	origin/integration/w3-ai	0	0	MERGED_INTO_ALPHA	COMPLETED_ON_ALPHA
umtuba-web-integration-w3-alpha-final	integration/w3-alpha-final	6061a6ae22eb8a323e51af63ecdcf9b655177d37	CLEAN	origin/integration/w3-alpha-final	0	0	MERGED_INTO_ALPHA	COMPLETED_ON_ALPHA
umtuba-web-knowledge-acquisition-foundation-v1	office/platform-knowledge-acquisition-foundation-v1	4484144306367703083faba2302289ed6870f613	CLEAN	origin/office/platform-knowledge-acquisition-foundation-v1	0	0	NOT_IN_ALPHA_LINEAGE	PARTIAL_OR_SIDE
umtuba-web-private-ai-deployment-runtime-v1	HEAD	cf3de8dd36cb19fe03cd9139d0ea48a8fb3d4705	CLEAN		NO_UPSTREAM	NOT_IN_ALPHA_LINEAGE	DETACHED_ORPHAN_OR_SUPERSEDED
