"text","desc","class","bounds","clickable","enabled"
"Create","","android.view.View","[42,143][198,214]","false","true"
"","Wallet 205 UM, tier Rising. Open rewards.","android.view.View","[607,121][937,237]","true","true"
"205 UM","","android.widget.TextView","[641,155][764,202]","false","true"
"آ·","","android.widget.TextView","[779,155][788,202]","false","true"
"Rising","","android.widget.TextView","[804,155][902,202]","false","true"
"Create","","android.widget.TextView","[52,263][915,93]","false","true"
"Pick a short video, add a caption, and publish to Watch.","","android.widget.TextView","[52,263][915,240]","false","true"
"MP4, WebM, or MOV â€” maximum 50 MB","","android.widget.TextView","[52,272][915,320]","false","true"
"","Choose video from library","android.widget.Button","[53,352][916,478]","true","true"
"Choose a different video","","android.widget.TextView","[281,389][687,440]","false","true"
"","Selected 1000441509.mp4, 4.9 megabytes","android.view.ViewGroup","[53,509][916,784]","false","true"
"1000441509.mp4","","android.widget.TextView","[92,548][878,599]","false","true"
"4.9 MB آ· 30603s آ· video/mp4","","android.widget.TextView","[92,615][878,662]","false","true"
"","Clear selected video","android.widget.Button","[92,678][876,745]","true","true"
"Clear selection","","android.widget.TextView","[92,693][876,744]","false","true"
"CAPTION","","android.widget.TextView","[52,836][915,879]","false","true"
"ط¬ط¨ظ„ ط§ظ„ظ…ظƒط¨ط± ط§ظ„ظ‚ط¯ط³","Caption","android.widget.EditText","[52,911][915,1200]","true","true"
"16/1000","","android.widget.TextView","[794,1231][915,1274]","false","true"
"Privacy options are not available yet â€” published videos follow the same public Watch rules as web.","","android.widget.TextView","[52,1305][915,1401]","false","true"
"","I confirm this video follows UMTUBA Terms and community rules and does not include objectionable content.","android.widget.CheckBox","[53,1454][916,1613]","true","true"
"I confirm this video follows UMTUBA Terms and community rules and does not include objectionable content.","","android.widget.TextView","[137,1454][916,1613]","false","true"
"","Open UMTUBA Terms","android.view.View","[53,1645][916,1712]","true","true"
"Read Terms","","android.widget.TextView","[53,1660][916,1711]","false","true"
"","Publish video","android.widget.Button","[53,1764][916,1890]","true","false"
"Publish","","android.widget.TextView","[413,1798][555,1855]","false","true"
"","â–¶, Watch","android.view.View","[0,2122][194,2250]","true","true"
"â–¶","","android.widget.TextView","[82,2151][111,2191]","false","true"
"Watch","","android.widget.TextView","[58,2208][134,2245]","false","true"
"","â—ژ, Discover","android.view.View","[194,2122][387,2250]","true","true"
"â—ژ","","android.widget.TextView","[281,2151][299,2191]","false","true"
"Discover","","android.widget.TextView","[238,2208][343,2245]","false","true"
"","ï¼‹, Create","android.view.View","[387,2122][581,2250]","true","true"
"ï¼‹","","android.widget.TextView","[469,2150][497,2193]","false","true"
"Create","","android.widget.TextView","[443,2208][523,2245]","false","true"
"","â—‰, Live","android.view.View","[581,2122][774,2250]","true","true"
"â—‰","","android.widget.TextView","[668,2151][686,2191]","false","true"
"Live","","android.widget.TextView","[652,2208][702,2245]","false","true"
"","âœ‰, Messages","android.view.View","[774,2122][968,2250]","true","true"
"âœ‰","","android.widget.TextView","[860,2151][881,2191]","false","true"
"Messages","","android.widget.TextView","[808,2208][933,2245]","false","true"
